id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
377,A Quest,Movie,Horror,None,2002,89,G,Spanish,USA,8.3,11115414,2839053,0,0,FALSE,2025-01-09,FALSE
378,Warrior Legend,Movie,Horror,None,2002,88,TV-MA,Korean,India,6.1,23331183,64610932.91,0,0,FALSE,2023-02-28,TRUE
379,City Mystery,Movie,Horror,None,2002,116,PG-13,English,USA,5.6,2496199,5147384,0,0,FALSE,2024-11-07,FALSE
380,Little Mystery,TV Series,Horror,None,2002,52,TV-MA,English,USA,6.3,11115414,64610932.91,12,81,FALSE,2021-05-06,FALSE
381,Love Storm,TV Series,Mystery,None,2002,17,TV-PG,Spanish,Japan,7.0,11115414,64610932.91,3,39,FALSE,2024-02-13,FALSE
382,Princess War,Stand-up Comedy,Romance,None,2002,58,TV-G,English,USA,7.6,11115414,64610932.91,0,0,FALSE,2024-11-06,FALSE
383,The War,Documentary,Romance,None,2002,86,TV-Y7,English,USA,7.6,11115414,64610932.91,0,0,TRUE,2024-06-15,FALSE
383,Queen Quest,Movie,Sci-Fi,None,2002,84,G,Italian,India,4.7,6494786,64610932.91,0,0,TRUE,2023-11-21,TRUE
384,Little Dragon,Stand-up Comedy,Sci-Fi,History,2002,58,TV-Y,Hindi,Canada,7.2,11115414,64610932.91,0,0,TRUE,2022-02-04,FALSE
385,First Ice,Limited Series,Sci-Fi,Mystery,2002,21,G,English,USA,2.6,11115414,64610932.91,5,170,FALSE,2024-07-24,TRUE
386,Little Warrior,Movie,Sci-Fi,None,2002,104,TV-MA,French,USA,8.7,1185845,80728679,0,0,FALSE,2024-03-02,FALSE
387,Queen Quest,Movie,Sci-Fi,None,2002,84,G,Italian,India,4.7,6494786,64610932.91,0,0,TRUE,2023-11-21,TRUE
388,Hero Journey,Movie,Sport,Biography,2002,104,PG-13,Italian,USA,4.9,6117844,16638609,0,0,TRUE,2022-11-01,FALSE
389,Secret Phoenix,Stand-up Comedy,Sport,None,2002,59,TV-PG,English,South Korea,6.4,11115414,64610932.91,0,0,FALSE,2021-02-08,FALSE
390,Storm Dream,Movie,Thriller,None,2002,80,NC-17,Spanish,France,4.9,13375163,64610932.91,0,0,FALSE,2022-10-21,TRUE
391,Family Mystery,TV Series,War,Family,2002,47,TV-PG,English,USA,6.8,11115414,64610932.91,9,91,FALSE,2021-02-19,FALSE
392,Kingdom Princess,TV Series,Western,Music,2002,38,PG-13,Hindi,USA,6.3,11115414,64610932.91,3,94,FALSE,2021-08-08,FALSE
393,Family House,TV Series,Action,None,2003,53,TV-PG,Japanese,Japan,8.6,11115414,64610932.91,7,74,TRUE,2023-10-22,FALSE
394,New Adventure,Stand-up Comedy,Adventure,None,2003,54,TV-Y7,Italian,UK,6.1,11115414,64610932.91,0,0,FALSE,2024-09-09,FALSE
395,Kingdom Kingdom,Movie,Adventure,None,2003,111,G,German,Canada,3.0,11115414,64610932.91,0,0,FALSE,2025-01-02,FALSE
396,Ice Kingdom,Documentary,Animation,Biography,2003,107,TV-PG,English,USA,8.7,11115414,64610932.91,0,0,FALSE,2021-12-24,TRUE
397,Love Love,Movie,Animation,Horror,2003,89,TV-Y,French,USA,5.4,11115414,221786,0,0,TRUE,2021-09-08,FALSE
398,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417,PG,French,USA,6.3,11115414,64610932.91,0,0,FALSE,2024-01-07,FALSE
399,Kingdom War,Documentary,Biography,Sport,2003,83,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2023-03-23,FALSE
400,Fire War,TV Series,Comedy,Sci-Fi,2003,32,TV-14,Italian,South Korea,5.1,11115414,64610932.91,6,74,FALSE,2023-08-17,TRUE
401,Bright House,TV Series,Comedy,None,2003,38,TV-Y,English,USA,6.6,11115414,64610932.91,12,14,TRUE,2024-01-14,FALSE
402,Day Night,Movie,Documentary,None,2003,105,TV-Y,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-10-13,FALSE
403,War Phoenix,TV Series,Documentary,None,2003,439,TV-Y,German,USA,6.3,11115414,64610932.91,7,6,FALSE,2021-05-12,FALSE
404,Day Night,Movie,Documentary,None,2003,105,TV-Y,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-10-13,FALSE
405,Fire Family,Movie,Drama,None,2003,142,TV-MA,English,USA,8.5,2114120,64610932.91,0,0,FALSE,2021-05-04,TRUE
406,Last Secret,Movie,Drama,None,2003,115,PG-13,English,India,6.1,2856217,7370946,0,0,FALSE,2024-03-04,FALSE
407,Journey Day,Movie,Drama,None,2003,153,PG-13,French,Canada,6.6,1442937,23502658,0,0,TRUE,2024-11-16,TRUE
408,Legend Ice,Limited Series,Family,War,2003,32,R,English,USA,6.3,11115414,64610932.91,14,86,FALSE,2021-01-24,FALSE
409,Legend Storm,TV Series,Fantasy,None,2003,32,TV-MA,English,USA,3.6,11115414,64610932.91,9,76,TRUE,2025-05-06,FALSE
410,King Queen,Stand-up Comedy,Fantasy,None,2003,61,TV-PG,Spanish,Canada,5.6,11115414,64610932.91,0,0,TRUE,2024-05-07,FALSE
411,City Battle,Stand-up Comedy,Fantasy,None,2003,58,TV-MA,English,UK,6.8,11115414,64610932.91,0,0,FALSE,2025-01-06,FALSE
412,Battle Day,Documentary,History,None,2003,92,PG,English,USA,5.4,11115414,64610932.91,0,0,TRUE,2025-02-18,FALSE
413,A Adventure,Movie,History,None,2003,97,R,English,USA,6.9,816637,21732153,0,0,FALSE,2021-05-30,FALSE
414,Night House,TV Series,Horror,Western,2003,16,TV-Y7,English,France,7.5,11115414,64610932.91,3,126,TRUE,2024-12-04,FALSE
415,Fire House,Movie,Music,Mystery,2003,139,TV-14,French,USA,7.3,11115414,64610932.91,0,0,TRUE,2025-07-15,FALSE
416,Dragon War,TV Series,Mystery,Family,2003,524,NC-17,Spanish,USA,5.0,11115414,64610932.91,4,199,TRUE,2024-05-09,FALSE
417,Big Dragon,TV Series,Romance,None,2003,50,PG-13,English,Canada,6.0,11115414,64610932.91,9,97,FALSE,2023-04-13,FALSE
418,Fire Warrior,TV Series,Romance,None,2003,29,R,Korean,India,2.6,11115414,64610932.91,3,143,TRUE,2022-08-16,FALSE
419,Big Dragon,TV Series,Romance,None,2003,50,PG-13,English,Canada,6.0,11115414,64610932.91,9,97,FALSE,2023-04-13,FALSE
420,Battle Story,TV Series,Sci-Fi,None,2003,52,TV-Y7,English,USA,6.3,11115414,64610932.91,7,158,FALSE,2021-11-30,FALSE
421,Journey Princess,Movie,Sci-Fi,Biography,2003,125,TV-MA,Spanish,USA,7.4,26713214,5582578,0,0,FALSE,2022-12-29,FALSE
422,Day Adventure,Movie,Thriller,None,2003,122,TV-PG,French,USA,6.3,11115414,64610932.91,0,0,TRUE,2021-10-31,FALSE
423,Dark Ice,TV Series,War,None,2003,13,TV-14,Japanese,USA,4.9,11115414,64610932.91,10,90,FALSE,2022-06-22,FALSE
424,Storm Night,Movie,War,None,2003,120,PG-13,English,USA,7.2,282251,4665806,0,0,FALSE,2023-08-15,FALSE
425,War Adventure,TV Series,War,Fantasy,2003,24,G,English,Germany,4.8,11115414,64610932.91,3,170,FALSE,2024-08-24,FALSE
426,Warrior Kingdom,Movie,War,War,2003,81,TV-PG,English,South Korea,4.8,19341025,120445111,0,0,FALSE,2022-11-26,FALSE
427,First House,Documentary,War,None,2003,86,TV-14,English,UK,1.7,11115414,64610932.91,0,0,TRUE,2021-06-14,FALSE
428,Last Journey,TV Series,Western,None,2003,41,TV-Y,English,UK,8.2,11115414,64610932.91,1,88,FALSE,2021-11-22,FALSE
429,Warrior King,Movie,Action,None,2004,131,PG,French,USA,5.2,5821087,15559765,0,0,FALSE,2024-03-17,FALSE
430,Story Mystery,Stand-up Comedy,Action,None,2004,79,TV-Y,Japanese,Japan,6.3,11115414,64610932.91,0,0,FALSE,2022-07-13,FALSE
431,Mystery Ice,TV Series,Action,Drama,2004,41,NC-17,English,USA,3.7,11115414,64610932.91,14,56,TRUE,2024-10-22,TRUE
432,Quest Love,TV Series,Adventure,War,2004,9,NC-17,English,Canada,0.5,11115414,64610932.91,7,124,FALSE,2023-10-24,FALSE
433,Day Dragon,Movie,Adventure,None,2004,89,G,French,Germany,6.4,220840,64610932.91,0,0,TRUE,2020-11-20,FALSE
434,Dream Hero,Movie,Adventure,Adventure,2004,174,TV-Y7,English,France,9.0,416301,268961079,0,0,TRUE,2024-02-04,FALSE
435,Adventure Legend,TV Series,Adventure,None,2004,62,TV-Y7,Korean,USA,6.3,11115414,64610932.91,11,13,FALSE,2022-03-04,FALSE
436,Adventure Ice,Movie,Adventure,None,2004,65,TV-PG,German,UK,6.3,2308408,37466547,0,0,FALSE,2021-07-21,FALSE
437,Adventure Legend,TV Series,Adventure,None,2004,62,TV-Y7,Korean,USA,6.3,11115414,64610932.91,11,13,FALSE,2022-03-04,FALSE
438,House Storm,Movie,Comedy,Drama,2004,138,NC-17,English,Canada,3.2,11115414,3733955,0,0,TRUE,2022-09-01,FALSE
439,Princess Warrior,Movie,Crime,None,2004,114,TV-Y7,English,Canada,6.9,702469,25878525,0,0,TRUE,2022-02-03,FALSE
440,Dream Hero,TV Series,Family,Western,2004,34,TV-PG,English,Canada,6.3,11115414,64610932.91,8,58,FALSE,2025-04-28,TRUE
441,Old Night,Movie,Fantasy,Sci-Fi,2004,94,TV-Y7,Spanish,USA,2.7,1231347,2483539,0,0,FALSE,2024-07-05,FALSE
442,Fire Hero,Documentary,Fantasy,None,2004,141,TV-14,Spanish,UK,8.3,11115414,64610932.91,0,0,FALSE,2024-04-24,FALSE
443,Storm Empire,Documentary,Horror,None,2004,82,TV-Y,English,USA,4.9,11115414,64610932.91,0,0,TRUE,2022-09-29,FALSE
444,Warrior Story,Documentary,Music,Mystery,2004,86,TV-MA,Italian,USA,7.7,11115414,64610932.91,0,0,TRUE,2020-09-03,FALSE
445,Mystery Legend,Stand-up Comedy,Music,None,2004,69,PG,German,Germany,6.3,11115414,64610932.91,0,0,FALSE,2021-09-09,TRUE
446,Warrior Phoenix,Movie,Music,Music,2004,115,G,English,USA,4.1,25132790,165389163,0,0,FALSE,2023-03-09,FALSE
447,Last Dream,Movie,Mystery,None,2004,113,G,English,USA,6.1,1666756,64610932.91,0,0,FALSE,2022-09-09,FALSE
448,Battle Secret,Documentary,Mystery,None,2004,56,TV-Y7,English,USA,0.9,11115414,64610932.91,0,0,FALSE,2021-04-06,FALSE
449,Old Mission,Movie,Romance,Sci-Fi,2004,106,NC-17,English,Canada,4.7,262233,90979995,0,0,TRUE,2022-01-24,FALSE
450,Journey Adventure,TV Series,Romance,Fantasy,2004,36,PG-13,English,France,8.8,11115414,64610932.91,11,27,TRUE,2025-07-10,FALSE
451,An Legend,Limited Series,Sci-Fi,Crime,2004,48,TV-PG,English,UK,9.3,11115414,64610932.91,1,155,FALSE,2022-05-12,FALSE
452,Princess Legend,Documentary,Thriller,None,2004,43,TV-Y7,French,Japan,4.4,11115414,64610932.91,0,0,FALSE,2022-10-08,TRUE
452,A Quest,Stand-up Comedy,Action,None,2005,57,NC-17,English,USA,10.0,11115414,64610932.91,0,0,FALSE,2025-05-13,TRUE
453,Adventure Princess,TV Series,Action,None,2005,67,TV-Y7,English,UK,3.7,11115414,64610932.91,14,35,TRUE,2022-06-13,FALSE
454,Night Love,Movie,Animation,None,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,0,0,FALSE,2022-12-11,FALSE
455,Day Fire,TV Series,Animation,Sci-Fi,2005,40,TV-PG,Spanish,South Korea,5.8,11115414,64610932.91,5,111,FALSE,2021-08-23,FALSE
456,Night Love,Movie,Animation,None,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,0,0,FALSE,2022-12-11,FALSE
457,Kingdom King,Movie,Biography,None,2005,491,TV-14,Spanish,USA,7.2,7047373,7555541,0,0,FALSE,2021-06-04,FALSE
458,Our Night,Movie,Biography,None,2005,143,TV-PG,English,USA,3.4,1053266,178690590,0,0,FALSE,2022-11-05,FALSE
459,House King,TV Series,Biography,None,2005,52,PG,Spanish,USA,6.3,11115414,64610932.91,7,159,FALSE,2021-12-21,TRUE
460,Dark Ice,Movie,Comedy,None,2005,150,PG,English,Canada,6.3,1915176,3628760,0,0,TRUE,2021-11-07,FALSE
461,Story Mystery,TV Series,Crime,None,2005,50,PG,English,USA,6.8,11115414,64610932.91,2,73,FALSE,2023-05-21,FALSE
462,Secret Legend,Documentary,Documentary,Family,2005,97,TV-Y7,French,USA,6.3,11115414,64610932.91,0,0,FALSE,2023-06-25,FALSE
463,City Queen,Documentary,Family,None,2005,80,PG-13,Spanish,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-12-12,FALSE
464,Family Legend,Movie,Family,Sport,2005,109,TV-MA,Japanese,Japan,6.8,2290910,64610932.91,0,0,TRUE,2024-11-16,FALSE
465,City Queen,Documentary,Family,None,2005,80,PG-13,Spanish,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-12-12,FALSE
466,Little City,Movie,History,None,2005,563,TV-G,English,USA,5.0,2185872,141933150,0,0,FALSE,2020-12-25,FALSE
467,The Storm,TV Series,History,Drama,2005,48,G,English,USA,7.4,11115414,64610932.91,2,164,FALSE,2021-10-05,FALSE
468,House Night,Stand-up Comedy,History,None,2005,31,G,Italian,Germany,4.7,11115414,64610932.91,0,0,FALSE,2023-04-30,TRUE
468,Mystery Adventure,Stand-up Comedy,Music,Sci-Fi,2005,66,PG,German,USA,5.8,11115414,64610932.91,0,0,TRUE,2021-02-24,FALSE
469,Last Day,TV Series,Music,None,2005,44,R,English,Germany,5.6,11115414,64610932.91,2,10,FALSE,2023-07-17,FALSE
470,Dragon Family,Stand-up Comedy,Music,None,2005,54,G,English,USA,6.9,11115414,64610932.91,0,0,FALSE,2021-07-18,FALSE
471,Quest Princess,Movie,Mystery,None,2005,134,TV-G,English,France,6.2,16797086,64610932.91,0,0,FALSE,2025-06-16,FALSE
472,Dream Battle,Movie,Romance,None,2005,140,TV-Y7,English,USA,6.5,11115414,10889136,0,0,FALSE,2025-07-01,FALSE
473,Ice Fire,TV Series,Romance,Family,2005,59,TV-MA,English,Germany,4.1,11115414,64610932.91,12,136,FALSE,2025-05-31,FALSE
474,Fire Dream,Stand-up Comedy,Romance,None,2005,41,NC-17,German,Canada,7.1,11115414,64610932.91,0,0,FALSE,2023-04-05,FALSE
475,Quest Family,Stand-up Comedy,Sport,None,2005,42,TV-PG,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2025-02-28,FALSE
476,Dragon Day,Movie,Sport,None,2005,88,PG,Korean,USA,9.5,1505916,64610932.91,0,0,TRUE,2025-06-16,FALSE
477,Mystery Quest,Movie,War,Music,2005,116,PG-13,Japanese,UK,6.4,1816487,2016406,0,0,FALSE,2023-02-04,FALSE
478,Mission Dream,Movie,War,None,2005,414,TV-G,Hindi,USA,5.9,4204348,24367896,0,0,FALSE,2021-02-07,FALSE
479,Battle Ice,TV Series,Western,None,2005,64,NC-17,English,USA,6.3,11115414,64610932.91,7,8,FALSE,2024-02-18,TRUE
480,An Journey,Movie,Western,Comedy,2005,130,R,Italian,South Korea,3.4,5596184,43187317,0,0,TRUE,2020-08-06,FALSE
481,Queen Warrior,Stand-up Comedy,Action,Animation,2006,81,TV-14,English,Canada,6.3,11115414,64610932.91,0,0,FALSE,2024-08-22,FALSE
482,Legend Queen,Movie,Action,None,2006,137,G,English,Germany,6.3,8709831,1267443,0,0,FALSE,2024-06-18,FALSE
483,War Kingdom,Stand-up Comedy,Adventure,None,2006,36,G,English,USA,5.5,11115414,64610932.91,0,0,FALSE,2022-07-12,FALSE
484,Day Dragon,TV Series,Adventure,None,2006,45,G,French,South Korea,6.2,11115414,64610932.91,2,174,FALSE,2021-03-13,FALSE
485,Night Warrior,Movie,Animation,Horror,2006,69,TV-PG,English,USA,5.1,28195264,64610932.91,0,0,FALSE,2022-05-10,FALSE
486,War Storm,TV Series,Animation,None,2006,57,TV-Y,Hindi,USA,6.4,11115414,64610932.91,9,180,FALSE,2022-10-25,FALSE
487,Adventure Fire,Movie,Biography,None,2006,143,NC-17,German,Germany,5.0,792013,5298432,0,0,TRUE,2022-12-28,FALSE
488,Old Ice,Documentary,Biography,Crime,2006,44,R,English,South Korea,6.9,11115414,64610932.91,0,0,FALSE,2021-08-27,FALSE
489,Queen Warrior,Movie,Comedy,None,2006,183,G,English,UK,7.8,1807604,71561859,0,0,TRUE,2021-02-09,FALSE
490,Our Queen,Movie,Crime,None,2006,115,TV-Y,English,USA,6.6,1750267,64610932.91,0,0,FALSE,2025-06-22,FALSE
491,Night Night,Stand-up Comedy,Crime,Biography,2006,87,TV-PG,French,USA,1.2,11115414,64610932.91,0,0,TRUE,2021-04-22,FALSE
492,Mystery Mystery,TV Series,Documentary,None,2006,6,NC-17,English,USA,6.3,11115414,64610932.91,7,177,FALSE,2024-04-18,FALSE
493,Story Legend,Stand-up Comedy,Drama,Mystery,2006,47,TV-G,Hindi,USA,6.3,11115414,64610932.91,0,0,TRUE,2021-09-11,FALSE
494,Legend Day,Movie,Family,Family,2006,80,TV-Y,Hindi,UK,3.5,11692054,4330263,0,0,FALSE,2022-10-29,FALSE
495,Old Battle,TV Series,Family,History,2006,58,TV-MA,English,USA,5.5,11115414,64610932.91,1,83,TRUE,2021-10-03,FALSE
496,Ice Storm,TV Series,Fantasy,None,2006,42,TV-G,Japanese,USA,8.4,11115414,64610932.91,7,159,FALSE,2025-04-12,FALSE
497,Story Phoenix,TV Series,History,None,2006,50,TV-G,Hindi,USA,6.3,11115414,64610932.91,7,156,FALSE,2020-10-22,FALSE
498,Warrior Adventure,Movie,History,Adventure,2006,106,G,Italian,USA,6.0,10082632,2344323,0,0,FALSE,2023-10-16,TRUE
499,Family Day,Stand-up Comedy,History,None,2006,59,G,English,Canada,5.8,11115414,64610932.91,0,0,FALSE,2024-09-24,TRUE
500,Battle Fire,Documentary,Romance,None,2006,91,R,Korean,USA,7.4,11115414,64610932.91,0,0,FALSE,2023-08-04,FALSE
501,Family Storm,Documentary,Romance,None,2006,89,TV-Y,English,USA,3.8,11115414,64610932.91,0,0,FALSE,2023-10-31,TRUE
502,War Legend,Movie,Sci-Fi,None,2006,151,TV-PG,English,USA,7.3,809242,69363028,0,0,FALSE,2023-11-03,TRUE
503,Secret House,TV Series,Sci-Fi,None,2006,30,TV-G,English,Canada,6.3,11115414,64610932.91,11,58,FALSE,2021-03-22,FALSE
504,Quest Mystery,Documentary,Sport,Thriller,2006,124,PG-13,English,USA,7.7,11115414,64610932.91,0,0,TRUE,2023-08-11,FALSE
505,Little Journey,Stand-up Comedy,War,None,2006,72,R,English,Canada,1.6,11115414,64610932.91,0,0,TRUE,2024-01-09,FALSE
506,City Story,Movie,Western,Drama,2006,97,TV-Y,English,Germany,6.3,11115414,64610932.91,0,0,FALSE,2022-10-01,TRUE
507,Love City,TV Series,Action,Adventure,2007,57,NC-17,English,Canada,8.2,11115414,64610932.91,12,75,FALSE,2021-05-14,TRUE
508,Princess Dream,Movie,Adventure,None,2007,92,TV-MA,English,Germany,9.2,3945580,366268007,0,0,FALSE,2021-03-16,FALSE
509,First Ice,Documentary,Adventure,None,2007,96,G,English,South Korea,7.1,11115414,64610932.91,0,0,FALSE,2022-12-06,FALSE
510,Phoenix Dragon,Movie,Animation,None,2007,148,NC-17,Spanish,USA,7.8,1445488,64610932.91,0,0,TRUE,2024-01-30,FALSE
511,Hero Secret,Stand-up Comedy,Biography,Music,2007,60,PG,Hindi,UK,6.3,11115414,64610932.91,0,0,FALSE,2024-02-26,TRUE
512,Battle Mission,Movie,Biography,None,2007,106,PG-13,Hindi,USA,5.0,15460729,12117921,0,0,FALSE,2023-07-20,FALSE
513,Phoenix Day,TV Series,Comedy,None,2007,28,TV-14,English,USA,8.3,11115414,64610932.91,13,166,FALSE,2022-11-14,FALSE
514,My Dragon,Movie,Comedy,Family,2007,93,TV-PG,Japanese,France,9.2,958475,1245159,0,0,FALSE,2023-05-22,TRUE
515,Night City,Stand-up Comedy,Drama,None,2007,67,TV-MA,English,USA,6.6,11115414,64610932.91,0,0,FALSE,2025-05-09,FALSE
516,Last Kingdom,TV Series,Drama,None,2007,53,TV-PG,Spanish,USA,9.0,11115414,64610932.91,13,17,TRUE,2023-05-23,FALSE
517,Family Quest,TV Series,Drama,None,2007,37,TV-Y7,English,Canada,7.0,11115414,64610932.91,14,21,TRUE,2020-08-19,FALSE
517,Phoenix Queen,Documentary,Drama,None,2007,72,TV-14,English,India,6.9,11115414,64610932.91,0,0,FALSE,2021-11-23,FALSE
518,Mystery Legend,Movie,Fantasy,None,2007,87,TV-MA,German,UK,6.3,55259167,210763420,0,0,FALSE,2021-09-30,FALSE
519,Our Battle,TV Series,Horror,None,2007,41,TV-G,Japanese,South Korea,6.3,11115414,64610932.91,13,164,FALSE,2021-03-23,FALSE
520,Mission Fire,TV Series,Mystery,Animation,2007,40,NC-17,Korean,USA,0.7,11115414,64610932.91,12,138,FALSE,2025-01-16,FALSE
521,Old Fire,Movie,Mystery,None,2007,94,TV-14,English,USA,6.9,1521182,64610932.91,0,0,FALSE,2023-07-27,FALSE
522,Phoenix Family,TV Series,Sport,None,2007,48,TV-PG,Hindi,USA,4.9,11115414,64610932.91,6,141,TRUE,2023-01-02,FALSE
523,Kingdom War,Stand-up Comedy,Thriller,None,2007,71,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2025-03-07,TRUE
524,First Ice,Stand-up Comedy,Thriller,None,2007,61,TV-14,English,USA,6.0,11115414,64610932.91,0,0,FALSE,2025-01-11,TRUE
525,Battle Dream,Movie,Thriller,None,2007,128,TV-14,French,USA,7.5,846327,36844960,0,0,TRUE,2024-07-20,FALSE
526,Our King,TV Series,Western,Family,2007,22,PG,English,Canada,8.0,11115414,64610932.91,4,151,FALSE,2022-07-22,FALSE
527,Legend War,Stand-up Comedy,Western,History,2007,80,PG-13,English,USA,6.5,11115414,64610932.91,0,0,TRUE,2023-11-07,FALSE
528,First Journey,Documentary,Action,Family,2008,87,TV-PG,English,Canada,6.3,11115414,64610932.91,0,0,TRUE,2023-01-19,FALSE
529,First Family,Movie,Adventure,Sci-Fi,2008,125,TV-14,English,Canada,8.9,11115414,9257237,0,0,TRUE,2021-08-28,TRUE
530,King House,TV Series,Animation,None,2008,45,TV-MA,English,South Korea,6.9,11115414,64610932.91,3,96,FALSE,2025-07-19,FALSE
531,Journey King,TV Series,Animation,Mystery,2008,46,TV-PG,English,India,9.7,11115414,64610932.91,9,48,FALSE,2022-10-24,FALSE
532,House City,TV Series,Animation,Sci-Fi,2008,30,TV-PG,English,South Korea,6.6,11115414,64610932.91,2,50,FALSE,2023-01-02,FALSE
533,Phoenix Legend,Limited Series,Biography,None,2008,32,G,English,South Korea,6.5,11115414,64610932.91,0,23,TRUE,2025-05-16,FALSE
534,First Dragon,Movie,Biography,None,2008,90,TV-14,English,India,5.4,11115414,144443940,0,0,TRUE,2025-02-07,FALSE
535,Empire Family,Movie,Biography,Fantasy,2008,168,TV-14,English,Canada,6.9,11115414,784225,0,0,FALSE,2025-07-15,FALSE
536,Family Fire,Movie,Documentary,History,2008,109,R,English,USA,4.5,556402,8920240,0,0,TRUE,2023-04-03,FALSE
537,Dream City,TV Series,Documentary,None,2008,39,TV-Y7,French,USA,4.4,11115414,64610932.91,10,116,TRUE,2022-09-02,FALSE
537,Quest Secret,Movie,Drama,None,2008,93,TV-G,English,UK,6.9,1331293,136118745,0,0,FALSE,2024-10-25,FALSE
538,Night Dragon,Movie,Drama,None,2008,117,TV-G,English,South Korea,8.1,1958252,3878800,0,0,TRUE,2023-03-03,FALSE
539,Big Ice,Documentary,Family,Adventure,2008,58,TV-Y,Hindi,Japan,5.9,11115414,64610932.91,0,0,FALSE,2023-05-08,FALSE
540,Kingdom Dream,Limited Series,Family,Drama,2008,30,TV-G,English,USA,5.9,11115414,64610932.91,8,90,FALSE,2022-09-27,FALSE
541,Journey Quest,Movie,Fantasy,None,2008,117,PG-13,English,France,6.3,11115414,49402926,0,0,FALSE,2025-02-22,FALSE
542,A Quest,Limited Series,History,None,2008,58,NC-17,English,Canada,4.9,11115414,64610932.91,2,153,FALSE,2022-03-29,FALSE
543,Little Dream,TV Series,Horror,None,2008,54,PG,Spanish,USA,5.9,11115414,64610932.91,5,131,FALSE,2023-12-13,FALSE
544,Adventure Love,Stand-up Comedy,Music,None,2008,43,R,English,Canada,7.8,11115414,64610932.91,0,0,FALSE,2023-10-20,TRUE
545,War Fire,Movie,Music,None,2008,14,TV-Y7,English,USA,6.3,9796514,9922315,0,0,TRUE,2025-06-07,FALSE
546,Story Legend,Documentary,Mystery,None,2008,103,TV-G,Spanish,South Korea,9.6,11115414,64610932.91,0,0,FALSE,2022-04-21,TRUE
547,An Mission,TV Series,Mystery,None,2008,17,G,English,India,5.4,11115414,64610932.91,2,156,FALSE,2021-09-22,FALSE
548,Warrior Story,Movie,Romance,None,2008,131,TV-Y7,Spanish,USA,6.3,2565082,6970808,0,0,TRUE,2020-09-28,FALSE
549,Fire Ice,TV Series,Sci-Fi,None,2008,40,TV-G,French,France,6.7,11115414,64610932.91,12,37,TRUE,2022-09-03,TRUE
550,Day Journey,TV Series,Thriller,None,2008,47,PG,English,Japan,5.4,11115414,64610932.91,9,54,FALSE,2020-12-15,FALSE
551,City Warrior,Movie,Western,None,2008,135,NC-17,English,USA,6.8,10268769,1769234,0,0,FALSE,2024-02-24,FALSE
552,Quest Hero,Limited Series,Action,Adventure,2009,437,NC-17,Italian,USA,5.5,11115414,64610932.91,7,19,FALSE,2020-08-21,FALSE
553,Quest Adventure,Movie,Adventure,None,2009,85,NC-17,English,Canada,7.0,6918517,13786456,0,0,FALSE,2025-01-30,FALSE
554,Legend Dragon,Movie,Biography,Adventure,2009,136,TV-MA,French,South Korea,8.7,8291129,10411548,0,0,TRUE,2020-09-13,FALSE
555,An War,TV Series,Comedy,History,2009,47,TV-MA,French,Germany,8.1,11115414,64610932.91,9,40,FALSE,2022-02-21,FALSE
556,Warrior House,TV Series,Comedy,None,2009,45,G,English,UK,6.3,11115414,64610932.91,1,83,FALSE,2021-10-02,FALSE
557,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44,TV-Y,Korean,USA,5.7,11115414,64610932.91,0,0,FALSE,2024-05-03,TRUE
557,The Mission,TV Series,Crime,None,2009,25,TV-14,Japanese,USA,7.1,11115414,64610932.91,7,118,FALSE,2024-01-22,FALSE
558,Battle Love,TV Series,Documentary,Thriller,2009,54,NC-17,English,Canada,5.8,11115414,64610932.91,13,9,FALSE,2021-09-14,FALSE
559,Adventure Phoenix,Limited Series,Documentary,Fantasy,2009,61,PG,English,South Korea,7.1,11115414,64610932.91,14,196,TRUE,2024-06-20,FALSE
560,Mission Phoenix,Documentary,Family,Thriller,2009,101,TV-PG,English,Canada,6.2,11115414,64610932.91,0,0,FALSE,2023-11-25,TRUE
561,An Mystery,TV Series,Fantasy,None,2009,41,PG-13,English,Canada,7.1,11115414,64610932.91,14,168,FALSE,2022-08-21,FALSE
562,Big Mission,Movie,History,None,2009,118,TV-Y7,Spanish,UK,6.1,1107126,64610932.91,0,0,TRUE,2024-04-22,TRUE
563,Fire Queen,Documentary,History,None,2009,84,NC-17,German,Canada,7.8,11115414,64610932.91,0,0,FALSE,2021-11-28,FALSE
564,Adventure Love,Movie,Music,None,2009,161,TV-PG,English,USA,8.8,1206373,64610932.91,0,0,FALSE,2021-10-29,FALSE
565,Kingdom Empire,Movie,Music,Mystery,2009,66,TV-Y,English,USA,5.4,2775406,18385689,0,0,TRUE,2021-12-19,TRUE
